Y_Position_m,Outer_Diameter_m,Inner_Diameter_m,Wall_Thickness_m,Force_Per_Span_N_m,Deflection_m,Bending_Stress_Pa
1.28644068e+01,6.96163535e-02,6.21538765e-02,3.73123854e-03,5.75885930e+01,1.23471029e+00,1.50868802e+07
1.31440678e+01,6.84252113e-02,6.12989627e-02,3.56312428e-03,5.56830019e+01,1.27299772e+00,1.32347173e+07
1.34237288e+01,6.72152872e-02,6.04440490e-02,3.38561910e-03,5.26955568e+01,1.31141680e+00,1.14781371e+07
1.37033898e+01,6.59864885e-02,5.95891353e-02,3.19867663e-03,4.90780571e+01,1.34995214e+00,9.82139083e+06
1.39830508e+01,6.47387226e-02,5.87342216e-02,3.00225050e-03,4.55227555e+01,1.38858884e+00,8.26641031e+06
1.42627119e+01,6.34718965e-02,5.78793078e-02,2.79629436e-03,4.20846115e+01,1.42731252e+00,6.81593456e+06
1.45423729e+01,6.21859178e-02,5.70243941e-02,2.58076183e-03,3.85445437e+01,1.46610939e+00,5.47524791e+06
1.48220339e+01,6.08806935e-02,5.61694804e-02,2.35560656e-03,3.47942956e+01,1.50496634e+00,4.25182928e+06
1.51016949e+01,5.95561310e-02,5.53145666e-02,2.12078219e-03,3.07987986e+01,1.54387101e+00,3.15462400e+06
1.53813559e+01,5.82121376e-02,5.44596529e-02,1.87624234e-03,2.65308797e+01,1.58281197e+00,2.19354238e+06
1.56610169e+01,5.68486205e-02,5.36047392e-02,1.62194066e-03,2.19752907e+01,1.62177888e+00,1.37871316e+06
1.59406780e+01,5.54654870e-02,5.27498255e-02,1.35783078e-03,1.71490273e+01,1.66076264e+00,7.18909259e+05
1.62203390e+01,5.40626444e-02,5.18949117e-02,1.08386635e-03,1.32210879e+01,1.69975565e+00,2.27284673e+05
1.65000000e+01,5.26400000e-02,5.10399980e-02,8.00000992e-04,1.40073141e+01,1.73875230e+00,0.00000000e+00
