rib_id,y_m,rib_type,mandatory_reason,material_family,bond_risk_status,risk_reasons,local_fem_required,data_needed
R015,-12.871607,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R016,-12.576297,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R017,-12.280987,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R018,-11.985677,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R019,-11.690367,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R020,-11.395056,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R021,-11.099746,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R022,-10.804436,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R023,-10.509126,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R024,-10.215579,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R025,-9.922032,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R026,-9.628484,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R027,-9.334937,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R028,-9.04139,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R029,-8.747843,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R030,-8.454296,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R031,-8.160749,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R032,-7.867201,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R033,-7.573654,mandatory_contract_rib,wire_attach;spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R034,-7.564741,mandatory_contract_rib,wire_attach,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R035,-7.273882,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R036,-6.983023,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R037,-6.692164,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R038,-6.401305,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R039,-6.110446,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R040,-5.819587,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R041,-5.528728,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R042,-5.237869,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R043,-4.94701,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R044,-4.656151,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R045,-4.365292,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R046,-4.074244,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R047,-3.783196,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R048,-3.492148,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R049,-3.201099,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R050,-2.910051,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R051,-2.619003,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;torque_critical_audit_zone,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R052,-2.327955,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;torque_critical_audit_zone,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R053,-2.036907,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;torque_critical_audit_zone,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R054,-1.745859,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R055,-1.454811,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R056,-1.163849,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R057,-0.872886,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R058,-0.581924,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R059,-0.290962,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R060,0.0,mandatory_contract_rib,root,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R061,0.290962,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R062,0.581924,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R063,0.872886,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R064,1.163849,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R065,1.454811,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R066,1.745859,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R067,2.036907,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;torque_critical_audit_zone,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R068,2.327955,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;torque_critical_audit_zone,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R069,2.619003,torque_critical_reinforcement_candidate,,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;torque_critical_audit_zone,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R070,2.910051,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R071,3.201099,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R072,3.492148,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R073,3.783196,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R074,4.074244,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R075,4.365292,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R076,4.656151,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R077,4.94701,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R078,5.237869,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R079,5.528728,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R080,5.819587,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R081,6.110446,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R082,6.401305,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R083,6.692164,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R084,6.983023,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R085,7.273882,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R086,7.564741,mandatory_contract_rib,wire_attach,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R087,7.573654,mandatory_contract_rib,wire_attach;spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R088,7.867201,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R089,8.160749,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R090,8.454296,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R091,8.747843,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R092,9.04139,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R093,9.334937,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R094,9.628484,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R095,9.922032,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R096,10.215579,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R097,10.509126,mandatory_contract_rib,spar_joint,balsa_sheet_3mm,needs_data_torque_or_mandatory_zone,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing;mandatory_station_load_path,true,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R098,10.804436,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R099,11.099746,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R100,11.395056,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R101,11.690367,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R102,11.985677,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
R103,12.280987,materialized_spacing_rib,,balsa_sheet_3mm,needs_data,bond_allowable_missing;collar_geometry_missing;tube_wall_crush_bearing_margin_missing;spar_contact_detail_missing,false,"bondline geometry, adhesive/collar material, spar tube wall local model, bearing/crush allowables"
