bay_id,start_rib_id,end_rib_id,y_start_m,y_end_m,y_mid_m,bay_length_m,target_spacing_m,chord_mid_m,bay_length_over_chord,materialized_physical_ribs,spacing_status,shape_sag_status,bond_risk_status,local_fem_required,fem_trigger_reasons,torque_critical_zone
B029,R029,R030,-8.747843,-8.454296,-8.601069,0.293547,0.3,0.98118,0.299177,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B030,R030,R031,-8.454296,-8.160749,-8.307522,0.293547,0.3,0.990933,0.296233,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B031,R031,R032,-8.160749,-7.867201,-8.013975,0.293548,0.3,1.000686,0.293347,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B032,R032,R033,-7.867201,-7.573654,-7.720427,0.293547,0.3,1.010439,0.290514,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B033,R033,R034,-7.573654,-7.564741,-7.569197,0.008913,0.3,1.015463,0.008777,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B034,R034,R035,-7.564741,-7.273882,-7.419312,0.290859,0.3,1.020443,0.285032,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B035,R035,R036,-7.273882,-6.983023,-7.128452,0.290859,0.3,1.030107,0.282358,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B036,R036,R037,-6.983023,-6.692164,-6.837594,0.290859,0.3,1.03977,0.279734,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B037,R037,R038,-6.692164,-6.401305,-6.546734,0.290859,0.3,1.049434,0.277158,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B038,R038,R039,-6.401305,-6.110446,-6.255876,0.290859,0.3,1.059097,0.274629,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B039,R039,R040,-6.110446,-5.819587,-5.965016,0.290859,0.3,1.068706,0.27216,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B040,R040,R041,-5.819587,-5.528728,-5.674157,0.290859,0.3,1.078002,0.269813,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B041,R041,R042,-5.528728,-5.237869,-5.383299,0.290859,0.3,1.087298,0.267506,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B042,R042,R043,-5.237869,-4.94701,-5.092439,0.290859,0.3,1.096593,0.265239,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B043,R043,R044,-4.94701,-4.656151,-4.801581,0.290859,0.3,1.105889,0.263009,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B044,R044,R045,-4.656151,-4.365292,-4.510722,0.290859,0.3,1.115184,0.260817,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B045,R045,R046,-4.365292,-4.074244,-4.219768,0.291048,0.3,1.124483,0.258828,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B046,R046,R047,-4.074244,-3.783196,-3.92872,0.291048,0.3,1.133785,0.256705,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B047,R047,R048,-3.783196,-3.492148,-3.637672,0.291048,0.3,1.143086,0.254616,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B048,R048,R049,-3.492148,-3.201099,-3.346623,0.291049,0.3,1.152388,0.252562,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B049,R049,R050,-3.201099,-2.910051,-3.055575,0.291048,0.3,1.16169,0.250539,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B050,R050,R051,-2.910051,-2.619003,-2.764527,0.291048,0.3,1.170991,0.248548,true,target_spacing_materialized,unknown_requires_test_torque_zone,needs_data_torque_or_mandatory_zone,true,torque_critical_audit_zone,true
B051,R051,R052,-2.619003,-2.327955,-2.473479,0.291048,0.3,1.180037,0.246643,true,target_spacing_materialized,unknown_requires_test_torque_zone,needs_data_torque_or_mandatory_zone,true,torque_critical_audit_zone,true
B052,R052,R053,-2.327955,-2.036907,-2.182431,0.291048,0.3,1.189067,0.24477,true,target_spacing_materialized,unknown_requires_test_torque_zone,needs_data_torque_or_mandatory_zone,true,torque_critical_audit_zone,true
B053,R053,R054,-2.036907,-1.745859,-1.891383,0.291048,0.3,1.198096,0.242925,true,target_spacing_materialized,unknown_requires_test_torque_zone,needs_data_torque_or_mandatory_zone,true,torque_critical_audit_zone,true
B054,R054,R055,-1.745859,-1.454811,-1.600335,0.291048,0.3,1.207125,0.241108,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B055,R055,R056,-1.454811,-1.163849,-1.30933,0.290962,0.3,1.216153,0.239248,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B056,R056,R057,-1.163849,-0.872886,-1.018368,0.290963,0.3,1.22518,0.237486,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B057,R057,R058,-0.872886,-0.581924,-0.727405,0.290962,0.3,1.234207,0.235748,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B058,R058,R059,-0.581924,-0.290962,-0.436443,0.290962,0.3,1.243233,0.234037,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B059,R059,R060,-0.290962,0.0,-0.145481,0.290962,0.3,1.25226,0.23235,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B060,R060,R061,0.0,0.290962,0.145481,0.290962,0.3,1.25226,0.23235,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B061,R061,R062,0.290962,0.581924,0.436443,0.290962,0.3,1.243233,0.234037,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B062,R062,R063,0.581924,0.872886,0.727405,0.290962,0.3,1.234207,0.235748,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B063,R063,R064,0.872886,1.163849,1.018368,0.290963,0.3,1.22518,0.237486,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B064,R064,R065,1.163849,1.454811,1.30933,0.290962,0.3,1.216153,0.239248,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B065,R065,R066,1.454811,1.745859,1.600335,0.291048,0.3,1.207125,0.241108,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B066,R066,R067,1.745859,2.036907,1.891383,0.291048,0.3,1.198096,0.242925,true,target_spacing_materialized,unknown_requires_test_torque_zone,needs_data_torque_or_mandatory_zone,true,torque_critical_audit_zone,true
B067,R067,R068,2.036907,2.327955,2.182431,0.291048,0.3,1.189067,0.24477,true,target_spacing_materialized,unknown_requires_test_torque_zone,needs_data_torque_or_mandatory_zone,true,torque_critical_audit_zone,true
B068,R068,R069,2.327955,2.619003,2.473479,0.291048,0.3,1.180037,0.246643,true,target_spacing_materialized,unknown_requires_test_torque_zone,needs_data_torque_or_mandatory_zone,true,torque_critical_audit_zone,true
B069,R069,R070,2.619003,2.910051,2.764527,0.291048,0.3,1.170991,0.248548,true,target_spacing_materialized,unknown_requires_test_torque_zone,needs_data_torque_or_mandatory_zone,true,torque_critical_audit_zone,true
B070,R070,R071,2.910051,3.201099,3.055575,0.291048,0.3,1.16169,0.250539,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B071,R071,R072,3.201099,3.492148,3.346623,0.291049,0.3,1.152388,0.252562,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B072,R072,R073,3.492148,3.783196,3.637672,0.291048,0.3,1.143086,0.254616,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B073,R073,R074,3.783196,4.074244,3.92872,0.291048,0.3,1.133785,0.256705,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B074,R074,R075,4.074244,4.365292,4.219768,0.291048,0.3,1.124483,0.258828,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B075,R075,R076,4.365292,4.656151,4.510722,0.290859,0.3,1.115184,0.260817,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B076,R076,R077,4.656151,4.94701,4.801581,0.290859,0.3,1.105889,0.263009,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B077,R077,R078,4.94701,5.237869,5.092439,0.290859,0.3,1.096593,0.265239,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B078,R078,R079,5.237869,5.528728,5.383299,0.290859,0.3,1.087298,0.267506,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B079,R079,R080,5.528728,5.819587,5.674157,0.290859,0.3,1.078002,0.269813,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B080,R080,R081,5.819587,6.110446,5.965016,0.290859,0.3,1.068706,0.27216,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B081,R081,R082,6.110446,6.401305,6.255876,0.290859,0.3,1.059097,0.274629,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B082,R082,R083,6.401305,6.692164,6.546734,0.290859,0.3,1.049434,0.277158,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B083,R083,R084,6.692164,6.983023,6.837594,0.290859,0.3,1.03977,0.279734,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B084,R084,R085,6.983023,7.273882,7.128452,0.290859,0.3,1.030107,0.282358,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B085,R085,R086,7.273882,7.564741,7.419312,0.290859,0.3,1.020443,0.285032,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B086,R086,R087,7.564741,7.573654,7.569197,0.008913,0.3,1.015463,0.008777,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B087,R087,R088,7.573654,7.867201,7.720427,0.293547,0.3,1.010439,0.290514,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B088,R088,R089,7.867201,8.160749,8.013975,0.293548,0.3,1.000686,0.293347,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B089,R089,R090,8.160749,8.454296,8.307522,0.293547,0.3,0.990933,0.296233,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B090,R090,R091,8.454296,8.747843,8.601069,0.293547,0.3,0.98118,0.299177,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B091,R091,R092,8.747843,9.04139,8.894616,0.293547,0.3,0.971427,0.302181,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B092,R092,R093,9.04139,9.334937,9.188163,0.293547,0.3,0.961205,0.305395,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B093,R093,R094,9.334937,9.628484,9.481711,0.293547,0.3,0.950925,0.308696,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B094,R094,R095,9.628484,9.922032,9.775258,0.293548,0.3,0.940645,0.312071,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B095,R095,R096,9.922032,10.215579,10.068805,0.293547,0.3,0.930365,0.315518,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B096,R096,R097,10.215579,10.509126,10.362353,0.293547,0.3,0.920085,0.319043,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B097,R097,R098,10.509126,10.804436,10.656781,0.29531,0.3,0.909774,0.324597,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B098,R098,R099,10.804436,11.099746,10.952091,0.29531,0.3,0.899432,0.328329,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B099,R099,R100,11.099746,11.395056,11.247401,0.29531,0.3,0.88909,0.332148,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B100,R100,R101,11.395056,11.690367,11.542711,0.295311,0.3,0.878749,0.336058,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B101,R101,R102,11.690367,11.985677,11.838022,0.29531,0.3,0.868407,0.340059,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B102,R102,R103,11.985677,12.280987,12.133332,0.29531,0.3,0.857777,0.344274,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B103,R103,R104,12.280987,12.576297,12.428642,0.29531,0.3,0.846706,0.348775,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B104,R104,R105,12.576297,12.871607,12.723952,0.29531,0.3,0.835636,0.353396,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B105,R105,R106,12.871607,13.166917,13.019262,0.29531,0.3,0.824565,0.35814,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B106,R106,R107,13.166917,13.462227,13.314572,0.29531,0.3,0.813494,0.363014,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B107,R107,R108,13.462227,13.75929,13.610758,0.297063,0.3,0.802391,0.370222,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
B108,R108,R109,13.75929,14.056352,13.907821,0.297062,0.3,0.791255,0.375432,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B109,R109,R110,14.056352,14.353415,14.204884,0.297063,0.3,0.779739,0.380978,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B110,R110,R111,14.353415,14.650478,14.501946,0.297063,0.3,0.767725,0.386939,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B111,R111,R112,14.650478,14.94754,14.799009,0.297062,0.3,0.755711,0.393089,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B112,R112,R113,14.94754,15.244603,15.096072,0.297063,0.3,0.743697,0.399441,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B113,R113,R114,15.244603,15.541665,15.393134,0.297062,0.3,0.731683,0.405998,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B114,R114,R115,15.541665,15.838728,15.690196,0.297063,0.3,0.718773,0.413292,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B115,R115,R116,15.838728,16.13579,15.987259,0.297062,0.3,0.705654,0.420974,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B116,R116,R117,16.13579,16.432853,16.284322,0.297063,0.3,0.692534,0.428951,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B117,R117,R118,16.432853,16.729916,16.581384,0.297063,0.3,0.676678,0.439002,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B118,R118,R119,16.729916,17.026978,16.878447,0.297062,0.3,0.660588,0.449694,true,target_spacing_materialized,unknown_requires_test,needs_data,false,,false
B119,R119,R120,17.026978,17.324041,17.17551,0.297063,0.3,0.645004,0.46056,true,target_spacing_materialized,unknown_requires_test,needs_data_torque_or_mandatory_zone,true,mandatory_rib_boundary_load_transfer,false
