bay_id,y_start_m,y_end_m,bay_length_m,chord_mid_m,bay_length_over_chord,placeholder_method,shape_sag_status,risk_reasons,data_needed
B013,-13.462227,-13.166917,0.29531,0.813494,0.363014,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B014,-13.166917,-12.871607,0.29531,0.824565,0.35814,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B015,-12.871607,-12.576297,0.29531,0.835636,0.353396,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B016,-12.576297,-12.280987,0.29531,0.846706,0.348775,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B017,-12.280987,-11.985677,0.29531,0.857777,0.344274,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B018,-11.985677,-11.690367,0.29531,0.868407,0.340059,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B019,-11.690367,-11.395056,0.295311,0.878749,0.336058,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B020,-11.395056,-11.099746,0.29531,0.88909,0.332148,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B021,-11.099746,-10.804436,0.29531,0.899432,0.328329,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B022,-10.804436,-10.509126,0.29531,0.909774,0.324597,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B023,-10.509126,-10.215579,0.293547,0.920085,0.319043,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B024,-10.215579,-9.922032,0.293547,0.930365,0.315518,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B025,-9.922032,-9.628484,0.293548,0.940645,0.312071,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B026,-9.628484,-9.334937,0.293547,0.950925,0.308696,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B027,-9.334937,-9.04139,0.293547,0.961205,0.305395,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B028,-9.04139,-8.747843,0.293547,0.971427,0.302181,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B029,-8.747843,-8.454296,0.293547,0.98118,0.299177,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B030,-8.454296,-8.160749,0.293547,0.990933,0.296233,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B031,-8.160749,-7.867201,0.293548,1.000686,0.293347,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B032,-7.867201,-7.573654,0.293547,1.010439,0.290514,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B033,-7.573654,-7.564741,0.008913,1.015463,0.008777,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B034,-7.564741,-7.273882,0.290859,1.020443,0.285032,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B035,-7.273882,-6.983023,0.290859,1.030107,0.282358,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B036,-6.983023,-6.692164,0.290859,1.03977,0.279734,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B037,-6.692164,-6.401305,0.290859,1.049434,0.277158,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B038,-6.401305,-6.110446,0.290859,1.059097,0.274629,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B039,-6.110446,-5.819587,0.290859,1.068706,0.27216,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B040,-5.819587,-5.528728,0.290859,1.078002,0.269813,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B041,-5.528728,-5.237869,0.290859,1.087298,0.267506,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B042,-5.237869,-4.94701,0.290859,1.096593,0.265239,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B043,-4.94701,-4.656151,0.290859,1.105889,0.263009,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B044,-4.656151,-4.365292,0.290859,1.115184,0.260817,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B045,-4.365292,-4.074244,0.291048,1.124483,0.258828,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B046,-4.074244,-3.783196,0.291048,1.133785,0.256705,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B047,-3.783196,-3.492148,0.291048,1.143086,0.254616,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B048,-3.492148,-3.201099,0.291049,1.152388,0.252562,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B049,-3.201099,-2.910051,0.291048,1.16169,0.250539,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B050,-2.910051,-2.619003,0.291048,1.170991,0.248548,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test_torque_zone,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only;torque_critical_audit_zone,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B051,-2.619003,-2.327955,0.291048,1.180037,0.246643,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test_torque_zone,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only;torque_critical_audit_zone,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B052,-2.327955,-2.036907,0.291048,1.189067,0.24477,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test_torque_zone,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only;torque_critical_audit_zone,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B053,-2.036907,-1.745859,0.291048,1.198096,0.242925,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test_torque_zone,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only;torque_critical_audit_zone,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B054,-1.745859,-1.454811,0.291048,1.207125,0.241108,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B055,-1.454811,-1.163849,0.290962,1.216153,0.239248,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B056,-1.163849,-0.872886,0.290963,1.22518,0.237486,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B057,-0.872886,-0.581924,0.290962,1.234207,0.235748,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B058,-0.581924,-0.290962,0.290962,1.243233,0.234037,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B059,-0.290962,0.0,0.290962,1.25226,0.23235,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B060,0.0,0.290962,0.290962,1.25226,0.23235,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B061,0.290962,0.581924,0.290962,1.243233,0.234037,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B062,0.581924,0.872886,0.290962,1.234207,0.235748,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B063,0.872886,1.163849,0.290963,1.22518,0.237486,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B064,1.163849,1.454811,0.290962,1.216153,0.239248,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B065,1.454811,1.745859,0.291048,1.207125,0.241108,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B066,1.745859,2.036907,0.291048,1.198096,0.242925,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test_torque_zone,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only;torque_critical_audit_zone,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B067,2.036907,2.327955,0.291048,1.189067,0.24477,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test_torque_zone,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only;torque_critical_audit_zone,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B068,2.327955,2.619003,0.291048,1.180037,0.246643,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test_torque_zone,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only;torque_critical_audit_zone,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B069,2.619003,2.910051,0.291048,1.170991,0.248548,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test_torque_zone,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only;torque_critical_audit_zone,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B070,2.910051,3.201099,0.291048,1.16169,0.250539,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B071,3.201099,3.492148,0.291049,1.152388,0.252562,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B072,3.492148,3.783196,0.291048,1.143086,0.254616,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B073,3.783196,4.074244,0.291048,1.133785,0.256705,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B074,4.074244,4.365292,0.291048,1.124483,0.258828,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B075,4.365292,4.656151,0.290859,1.115184,0.260817,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B076,4.656151,4.94701,0.290859,1.105889,0.263009,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B077,4.94701,5.237869,0.290859,1.096593,0.265239,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B078,5.237869,5.528728,0.290859,1.087298,0.267506,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B079,5.528728,5.819587,0.290859,1.078002,0.269813,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B080,5.819587,6.110446,0.290859,1.068706,0.27216,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B081,6.110446,6.401305,0.290859,1.059097,0.274629,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B082,6.401305,6.692164,0.290859,1.049434,0.277158,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B083,6.692164,6.983023,0.290859,1.03977,0.279734,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B084,6.983023,7.273882,0.290859,1.030107,0.282358,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B085,7.273882,7.564741,0.290859,1.020443,0.285032,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B086,7.564741,7.573654,0.008913,1.015463,0.008777,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B087,7.573654,7.867201,0.293547,1.010439,0.290514,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B088,7.867201,8.160749,0.293548,1.000686,0.293347,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B089,8.160749,8.454296,0.293547,0.990933,0.296233,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B090,8.454296,8.747843,0.293547,0.98118,0.299177,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B091,8.747843,9.04139,0.293547,0.971427,0.302181,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B092,9.04139,9.334937,0.293547,0.961205,0.305395,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B093,9.334937,9.628484,0.293547,0.950925,0.308696,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B094,9.628484,9.922032,0.293548,0.940645,0.312071,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B095,9.922032,10.215579,0.293547,0.930365,0.315518,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B096,10.215579,10.509126,0.293547,0.920085,0.319043,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B097,10.509126,10.804436,0.29531,0.909774,0.324597,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B098,10.804436,11.099746,0.29531,0.899432,0.328329,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B099,11.099746,11.395056,0.29531,0.88909,0.332148,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B100,11.395056,11.690367,0.295311,0.878749,0.336058,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
B101,11.690367,11.985677,0.29531,0.868407,0.340059,low_order_membrane_plate_placeholder_not_calibrated,unknown_requires_test,skin_tension_covering_modulus_pressure_delta_missing;low_order_placeholder_only,"skin material, pre-tension, pressure/suction envelope, rib cap contact, coupon or panel sag test"
